ticker,name,kind,exchange,benchmark
TDY,Teledyne Technologies,stock,,
TER,Teradyne,stock,,
TSLA,"Tesla, Inc.",stock,,
TXN,Texas Instruments,stock,,
TPL,Texas Pacific Land Corporation,stock,,
TXT,Textron,stock,,
TMO,Thermo Fisher Scientific,stock,,
TJX,TJX Companies,stock,,
TKO,TKO Group Holdings,stock,,
TTD,Trade Desk (The),stock,,
TSCO,Tractor Supply,stock,,
TT,Trane Technologies,stock,,
TDG,TransDigm Group,stock,,
TRV,Travelers Companies (The),stock,,
TRMB,Trimble Inc.,stock,,
TFC,Truist Financial,stock,,
TYL,Tyler Technologies,stock,,
TSN,Tyson Foods,stock,,
USB,U.S. Bancorp,stock,,
UBER,Uber,stock,,
UDR,"UDR, Inc.",stock,,
ULTA,Ulta Beauty,stock,,
UNP,Union Pacific Corporation,stock,,
UAL,United Airlines Holdings,stock,,
UPS,United Parcel Service,stock,,
URI,United Rentals,stock,,
UNH,UnitedHealth Group,stock,,
UHS,Universal Health Services,stock,,
VLO,Valero Energy,stock,,
VEEV,Veeva Systems,stock,,
VTR,Ventas,stock,,
VLTO,Veralto,stock,,
VRSN,Verisign,stock,,
VRSK,Verisk Analytics,stock,,
VZ,Verizon,stock,,
VRTX,Vertex Pharmaceuticals,stock,,
VRT,Vertiv,stock,,
VTRS,Viatris,stock,,
VICI,Vici Properties,stock,,
V,Visa Inc.,stock,,
VST,Vistra Corp.,stock,,
VMC,Vulcan Materials Company,stock,,
WRB,W. R. Berkley Corporation,stock,,
GWW,W. W. Grainger,stock,,
WAB,Wabtec,stock,,
WMT,Walmart,stock,,
DIS,Walt Disney Company (The),stock,,
WBD,Warner Bros. Discovery,stock,,
WM,Waste Management,stock,,
WAT,Waters Corporation,stock,,
WEC,WEC Energy Group,stock,,
WFC,Wells Fargo,stock,,
WELL,Welltower,stock,,
WST,West Pharmaceutical Services,stock,,
WDC,Western Digital,stock,,
WY,Weyerhaeuser,stock,,
WSM,"Williams-Sonoma, Inc.",stock,,
WMB,Williams Companies,stock,,
WTW,Willis Towers Watson,stock,,
WDAY,"Workday, Inc.",stock,,
WYNN,Wynn Resorts,stock,,
XEL,Xcel Energy,stock,,
XYL,Xylem Inc.,stock,,
YUM,Yum! Brands,stock,,
ZBRA,Zebra Technologies,stock,,
ZBH,Zimmer Biomet,stock,,
ZTS,Zoetis,stock,,
ES=F,S&P 500 E-Mini Futures,future,CME,
NQ=F,Nasdaq 100 E-Mini Futures,future,CME,
YM=F,Dow E-Mini Futures,future,CME,
RTY=F,Russell 2000 E-Mini Futures,future,CME,
CL=F,Crude Oil Futures (WTI),future,NYMEX,
BZ=F,Brent Crude Oil Futures,future,NYMEX,
GC=F,Gold Futures,future,COMEX,
SI=F,Silver Futures,future,COMEX,
HG=F,Copper Futures,future,COMEX,
NG=F,Natural Gas Futures,future,NYMEX,
